# Directed graph (each unordered pair of nodes is saved once): Cit-HepPh.txt 
# Paper citation network of Arxiv High Energy Physics category
# Nodes: 34546 Edges: 421578
# FromNodeId	ToNodeId
9907233	9301253
9907233	9504304
9907233	9505235
9907233	9506257
112133	2171
112133	12308
112133	104062
112133	104110
2171	9711261
2171	9810333
2171	9901418
2171	9908432
2171	9911280
9501265	9210215
9501265	9211304
9501265	9211321
9501265	9212203
9501265	9303284
9501265	9304257
9501265	9406263
9501265	9409335
104110	1113
104110	1297
104110	2227
104110	3323
104110	4004
104110	4173
104110	4213
104110	9712306
104110	9801443
104062	4004
104062	4173
104062	6056
211224	2036
211224	3033
211224	9158
211224	10017
211224	12351
211224	102227
203079	7286
203079	9271
203079	10260
203079	11112
203079	11144
203079	12256
203079	12332
203079	101123
203079	103159
203079	104024
203079	105239
203079	105323
203079	106044
